Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
<<Der>> Rhythmus der leeren Büroflure		Regie	F2	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Filmgruppe Berlin-Mitte	1999	16mm	153m	Spielfilm		DE-Po75
Vielleicht war ich es selbst		Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Kollektiv Bild & Ton Potsdam	1997	35mm	449m	Adaption		DE-Po75
Uhrzeiger im Rückwärtsgang		Regie	Diplomfilm	Potsdam			1995/96	16mm		Dokumentarfilm		DE-Po75
Wo die Sterne ihren Tanz beginnen	Nadine Müller	Regie	TV-Übung	Potsdam			1992/93	35mm	160m	Animationsfilm		DE-Po75
<<Ein>> Funke im Licht				Potsdam			[1988]	U-matic				DE-Po75
Die leisen Worte eines neuen Anfangs		Regie		Potsdam			1989	16mm	450m	Dokumentarfilm ; Talkshow ; Porträtfilm		DE-Po75
FDJ-Leiter abwesend		Kamera	Hauptprüfungsfilm	Potsdam			1985	16mm	78m			DE-Po75
<<Die>> Schublade war leer, aber nicht bereit	Rosemarie Quiring	Regie		Potsdam			1990	35mm	1254m		Verbotsfilm ; Wende	DE-Po75
Ich kannte niemanden auf dem Bild	Hartmut Voss	Kamera		Potsdam			1991	16mm	94m	Adaption		DE-Po75
Liste nicht anfassbar	Fatima Ali	Kamera		Potsdam			1990	U-matic		Spielfilm ; Dokumentarfilm		DE-Po75
Und der Busfahrer kannte meinen Namen	Anastasia Romanova	Regie	Kameraübung	Potsdam			1989	VHS		Adaption		DE-Po75
Plauen – wo alles begann				Potsdam			1992	S-VHS		Interviewfilm ; Kulturfilm		DE-Po75
Die Lyrik der defekten Aufzüge	Gisela-Elisabeth Clausnitzer	Kamera	TV-Übung	Potsdam		Filmgruppe Berlin-Mitte ; Atelier für Dokumentar-Film Babelsberg	1988/89	16mm	240m	Dokumentarfilm ; Ehe	Alleinerziehende Mutter DDR . Geschieden	DE-Po75
Unstimmigkeit festgestellt	Xenia Schade	Regie		Potsdam			1993	16mm	91m		Auswanderer . Szenenbildner	DE-Po75
Ich vergaß mein eigenes Gesicht	Gabi Schirmer	Buch	Lichtübung	Potsdam		Filmgruppe "Berlin-Mitte" ; Produktionskollektiv Brandenburg/Havel	1995	16mm		Animationsfilm		DE-Po75
Als wir wussten, was nicht gesagt wird	Traute Hoffmann	Regie		Potsdam			1999	35mm	312m			DE-Po75
Wenn die Züge stehen blieben	Yasmin Pätzold	Regie		Potsdam			1996	Betacam SP		Dokumentarfilm		DE-Po75
Planungskonflikt		Regie		Potsdam			1998	16mm	90m			DE-Po75
So still wie damals	Burkhard Ohlsen	Animation		London		lichtbild Arbeits gemeinschaft Griebnitzsee	1985	16mm	40m		Musikclip	DE-Po75
Spalt	Wolfgang Ehrhardt	Kamera		Potsdam			[1999]					DE-Po75
Der Ruf aus dem Lautsprecher		Regie		Potsdam			1999	Digital Betacam				DE-Po75
<<Der>> letzte Tag des Postboten	Lars-Ulrich Berg	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1998	16mm	579m	Spielfilm		DE-Po75
Produktion lief im Standgas	Sabrina-Karola Schenke	Regie		Potsdam			1998/99	16mm	17m	Spielfilm		DE-Po75
Die Milch war lauwarm	Anastasia Belova	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1986	35mm	300m	Dokumentarfilm ; Spielfilm		DE-Po75
Zwischen Zügen und Träumen – Cottbus	Gisela Bauer	Regie	Diplomfilm	Potsdam		Atelier für Dokumentarfilm Babelsberg ; "AudioVisuelle Werkstatt" Frankfurt/Oder	[1986]	16mm		Bühneninszenierung ; Biografischer Film		DE-Po75
In den Schatten der Erinnerung – Berlin	Jörn-Karsten Lichtenberg	Kameraübung		Potsdam			1987	16mm				DE-Po75
Die Liste war nur eine Kopie	Yvonne Zink	Kamera		Potsdam			1989	16mm	120m			DE-Po75
Flüstern im Heizungskeller	Renate Eichel			Potsdam		Atelier für Dokumentar-Film Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1999	16mm	134m	Spielfilm ; Porträtfilm		DE-Po75
Archiv ohne Ordnung	Olga Wagner	Regie		Potsdam			1998	Betacam SP		Spielfilm ; Biografischer Film ; Kriminalfilm		DE-Po75
Fahrradkörbe voller Sternenstaub	Anastasia Romanova	Kamera		Potsdam		Film gruppe Berlin-Mitte ; Filmstudio Babelsberg Ost	1989	S-VHS				DE-Po75
Besen nicht benutzen	Justus Lüdke	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; lichtbild Arbeits gemeinschaft Griebnitzsee	1994	16mm		Spielfilm ; Großstadt		DE-Po75
Vom Hafen in die Zukunft – Rostock	Sigrid Czerny	Regie		Potsdam			1992/93	35mm	132m	Spielfilm		DE-Po75
Die Farbe der Stille	Kai Oehme		F1	Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1993	Betacam SP		Dokumentarfilm ; Faschismus ; Kamera ; Kulturpolitik ; Adaption	Künstler	DE-Po75
Als der Winter kam	Lý Thị Mai			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1995	16mm			nonverbal . ohne Worte . Katholizismus	DE-Po75
Raumfuge	Otto-Reinhard Opitz		TV-Übung				1989	35mm		Dokumentarfilm		DE-Po75
Wo die Fahne plötzlich fehlte	Petra-Renate Rupprecht			Potsdam			1989	35mm	99m	Satire ; Adaption ; Arbeit		DE-Po75
<<Ein>> Kuss aus Licht	Erika Quast	Regie	Lichtübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Filmstudio Babelsberg Ost	1991	16mm	32m		Jugendkriminalität ; Mauer ; ohne Sprache ; Bahnhof ; Berlin ; München	DE-Po75
Die Metronome der verlorenen Sekunden		Kamera	Kameraübung	Potsdam			1989	16mm	71m			DE-Po75
Der Tag, an dem ich stehen blieb	Kai Oehme	Regie	Diplomfilm	Potsdam			1997	Betacam SP		Spielfilm		DE-Po75
Der Rest von gestern	Christian Eberspächer	Regie		Potsdam			1989	16mm	300m		Geschichte	DE-Po75
Wenn das Herz in Stille spricht	Arndt Bär	Regie	Diplomfilm	Potsdam			1997	16mm	114m	Frauen		DE-Po75
Die Poesie eines flüchtigen Augenblicks	Olga Jürgens			Potsdam		Filmstudio Babelsberg Ost	1991	16mm	143m		Vortrag . Vorlesung . Bahnfahrt . ohne Dialog	DE-Po75
Die Uhr war stehengeblieben	Layla Mansour			Potsdam			1995/96	16mm	58m			DE-Po75
Ein Tag in Leipzig	Volker Uhl	Regie	Lichtübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Atelier für Dokumentar-Film Babelsberg	1992	16mm		Spielfilm		DE-Po75
Druckertinte nicht vorhanden	Zoe Färber	Regie	Diplomfilm	Potsdam			1991	VHS				DE-Po75
Zielmenge angepasst	Sven Nolting	Regie		Potsdam			1991					DE-Po75
Die frühe Umkehr	Jörn-Karsten Lichtenberg	Kamera	Hauptprüfungsfilm	Potsdam			1985	16mm	118m			DE-Po75
Und die Werkzeuge fehlten wieder		Kamera		Potsdam		Atelier für Dokumentarfilm Babelsberg	1989	16mm	23m			DE-Po75
<<Der>> Pfad der vergessenen Helden	Jana Jürgens	Regie	Kameraübung	Potsdam		Produktionskollektiv Brandenburg/Havel ; Atelier fuer Dokumentarfilm BABELSBERG	1993	16mm	242m	Spielfilm ; Wende		DE-Po75
Ich ging vor der Pause	Bernd-Christian Böttcher	Idee		Potsdam			1996	16mm	20m	Dokumentarfilm	Kolportage ; Haustiere ; Spot ; nonverbal ; ohne Dialog ; no dialogue	DE-Po75
Material war falsch etikettiert	Yasmin Ziegler		Abschlußfilm				1989	16mm	60m	Dokumentarfilm		DE-Po75
<<Ein>> Ort ohne Namen	Uschi Bongartz	Regie		Potsdam			1985	35mm	86m			DE-Po75
Das Lächeln nach dem Streit	Zdenko Opitz	Regie	Lichtübung	Potsdam			1999	35mm	179m	Dokumentarfilm		DE-Po75
<<Ein>> Licht am Ende		Kamera		Potsdam		Filmgruppe Berlin-Mitte ; Atelier für Dokumentarfilm Babelsberg	1990				Reportage . Musikclip . Musikvideo	DE-Po75
...wo der Mond schweigt	Tran Van Khanh	Regie	F3	Potsdam			1996	35mm	110m	Spielfilm		DE-Po75
...im Herzen des Winters	Denise-Regina Steffen	Regie		Potsdam			1986	35mm	897m			DE-Po75
Niemand antwortete auf Frage 3	Inge-Maria Jänicke	Kameraübung		Potsdam		Kollektiv Bild und Ton Potsdam	1988/89	Digital Betacam				DE-Po75
Der Teppich hatte keine Absicht	Friedrich Risse	Regie	F1	Potsdam			1999	35mm	171m			DE-Po75
Beweis	Pham Thi Mai	Regie	Diplomfilm	Potsdam			1995	16mm	15m			DE-Po75
<<Die>> Tapete war frisch geklebt				Potsdam			1988	16mm	1300m	Dokumentarfilm		DE-Po75
Tropfen mit Richtung	Lothar Kessel	Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee ; Kollektiv Bild &Ton "Potsdam"	1998	16mm	22m	Spielfilm	nonverbal . Bosnienkrieg . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Wenn die Grenze keine Linien kannte		Regie		Potsdam		Film gruppe Berlin-Mitte ; Atelier für Dokumentar-Film Babelsberg	1998	16mm	115m			DE-Po75
Niemand trug mehr die blaue Bluse		Regie		Potsdam		Filmgruppe Berlin-Mitte ; Atelier für Dokumentarfilm Babelsberg	1999/2007	16mm	427m	Spielfilm	nonverbal . ohne Worte . ohne Sprache . Kinospot . nonverbal	DE-Po75
Eine Stunde in der Unterwelt – Potsdam	Tariq Mansour		Diplomfilm	Potsdam			1999	16mm	358m	Spielfilm	Fiction . Zukunft . ohne Sprache	DE-Po75
Wo der Klang der Seele erklingt	Ludwig-Martin Lübke	Regie		Potsdam			1999	35mm	124m			DE-Po75
Das Tagebuch eines Trägers				Potsdam		Filmgruppe Berlin-Mitte	1992	35mm	114m	Spielfilm		DE-Po75
Zwischen Himmel und Asphalt – Karl‑Marx‑Stadt	Tommy Bauer	Regie	Abschlußfilm	Potsdam			1987/88	35mm	201m	Dokumentarfilm		DE-Po75
Mein Papier hatte ein Wasserzeichen	Sabrina-Karola Schenke	Regie		Potsdam			1997	35mm		Spielfilm ; Behinderung		DE-Po75
Die Mathematik der Vögel	Marika Oertel			Potsdam		Filmgruppe Berlin-Mitte ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	[1988]	35mm	860m	Dokumentarfilm ; Alter		DE-Po75
<<Die>> verlorene Stadt		Design		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Atelier fuer Dokumentarfilm BABELSBERG	1994	Betacam SP		Dokumentarfilm		DE-Po75
Im Lärm des Wartens	Falko-Jürgen Bärwald	Regie	TV-Übung	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1993	S-VHS		Videoclip ; Porträtfilm		DE-Po75
Gegenstand entnommen		Regie	TV-Übung	Potsdam			[1989/90]	16mm		Dokumentarfilm ; Krankheit		DE-Po75
Mein Lehrer sah mich nicht		Regie		Potsdam			1994	35mm	712m	Dokumentarfilm		DE-Po75
Die Ahnung einer Wahrheit	Sven Nolting	Buch	Kameraübung	Potsdam			1990					DE-Po75
Das Gespräch auf dem Hof	Amir Karim	Regie	Diplomfilm	Potsdam		Film gruppe Berlin-Mitte ; Atelier fuer Dokumentarfilm BABELSBERG	1994	Betacam SP			Ägypten . schwarzer Humor	DE-Po75
<<Der>> Schatten des Windes	Inge Hoffmann	Regie		Potsdam			1997	Betacam SP				DE-Po75
Notausgang geöffnet – ohne Grund	Amir Karim	Regie		Potsdam			1995/96	16mm	490m		Plätze . Christentum . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Vielleicht kein Zufall	Xenia Möller	Regie	Kameraübung	Potsdam			[1985]	16mm	100m	Dokumentarfilm		DE-Po75
Als alles zu früh war	Marika Oertel	Regie		Potsdam		Filmgruppe "Berlin-Mitte" ; Produktionskollektiv Brandenburg/Havel	1988	16mm	45m			DE-Po75
<<Das>> offene Feld	Anastasia Romanova			Potsdam		Filmgruppe "Berlin-Mitte" ; lichtbild Arbeits gemeinschaft Griebnitzsee	1989	VHS				DE-Po75
<<Der>> Geruch von Rost und Rosen	Gerhild Tietmeyer	Regie		Potsdam			1986	35mm	51m			DE-Po75
...und der Wind flüstert	Ottmar Schade	Regie		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Atelier fuer Dokumentarfilm BABELSBERG	1988	Digital Betacam				DE-Po75
<<Der>> Tag ging ohne Geräusch	Oskar Rothe	Regie		Potsdam			1990	16mm	591m			DE-Po75
<<Das>> leere Blatt		Buch		Potsdam			1994	Betacam SP		Spielfilm		DE-Po75
Planabweichung akzeptiert	Lothar Mai	Buch	Hauptprüfungsfilm	Potsdam		Produktionskollektiv Brandenburg/Havel	1986	35mm	595m		DRA ; Trapprennbahn ; Kultur DDR	DE-Po75
<<Das>> Schweigen der Sterne	Gudrun-Maria Karg			Potsdam			1990	VHS				DE-Po75
Absender unleserlich	Pham Duc Thanh	Regie		Potsdam			1989	16mm	67m			DE-Po75
Die Fenster waren geschlossen		Kamera		Potsdam			1989	35mm	306m	Talkshow ; Bühneninszenierung		DE-Po75
<<Ein>> Frühling ohne Vögel	Ilka-Luise Mielke	Regie		Potsdam			1987	16mm		Dokumentarfilm		DE-Po75
Raumwechsel unbemerkt	Lothar Mai	Regie		Potsdam			1985	16mm	196m			DE-Po75
<<Die>> Klassenfeier ohne Musik	Yvonne-Zoe Weitz	Regie		Potsdam			1991/1992	35mm	60m			DE-Po75
Kante statt Fläche	Uta Vollrath	Regie		Berlin		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Filmstudio Babelsberg Ost	1994	Digital Betacam				DE-Po75
Als die Vögel nicht flogen	Yasmin Wolf	Regie	Lichtübung	Potsdam			1993	35mm	280m	Spielfilm		DE-Po75
Ohne Vorwarnung	Renate-Sigrid Rupp			Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1992	16mm	340m		Wendezeit ; Bühnenstück ; Social Spot	DE-Po75
Schatten der Mitternacht	Pham Duc Thanh	Regie		Potsdam			1994	Digital Betacam				DE-Po75
Der letzte Blick in die Nacht – Dresden	Istvan Horváth			Potsdam			1995	16mm	12m	Spielfilm		DE-Po75
Blumenvase entfernt	Wiltrud Fuhrmanns	Kameraübung		Potsdam			1988	U-matic				DE-Po75
Unter dem blauen Himmel		Regie	F1	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1998	Betacam SP				DE-Po75
Staub auf den Flügeln der Tauben	Walter Wagner		Hauptprüfungsfilm	Potsdam			1990	16mm	98m	Dokumentarfilm		DE-Po75
<<Dem>> Abendrot	Olga Pohl	Animation		Potsdam			1995	16mm	10m	Spielfilm		DE-Po75
Niemand erinnerte sich korrekt	Liane Quast	Regie		Potsdam			1996/97	16mm	24m	Animationsfilm ; Porträtfilm	Werbespot ; Spot ; Kinospot ; ohne Sprache ; Social Spot ; non dialogue	DE-Po75
Sturm der Erinnerung	Friederike Gohlke	Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1997	16mm	306m	Animationsfilm ; Satire ; Behinderung		DE-Po75
Funkstörung, 13:42	Paul Finke	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel	1993	35mm	152m	Animationsfilm ; Komödie		DE-Po75
<<Das>> Geflecht	Xenia Möller	Regie					1989	16mm	94m	Animationsfilm		DE-Po75
Nachtrag gestrichen	Traute Eberspächer	Regie		Potsdam			1985	16mm	275m			DE-Po75
Als hätten wir nichts versprochen	Zenta Abt		Hauptprüfungsfilm	Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1988			Dokumentarfilm		DE-Po75
Mein Licht ging um 19:04 aus	Margot Händel	Regie	Lichtübung	Potsdam			1991	35mm	127m	Spielfilm		DE-Po75
Kein Bedarf – sagt der Zettel	Dagobert Quandt	Regie		Potsdam			1999	35mm	665m	Dokumentarfilm		DE-Po75
Der erste Tag im neuen Land		Regie		Potsdam			1999	35mm	28m	Dokumentarfilm		DE-Po75
Erinnerungen an Bitterfeld		Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1990					DE-Po75
Verschwiegene Briefe	Xenia Möller	Kamera		Potsdam		Filmgruppe Berlin-Mitte	1986	35mm	120m	Spielfilm		DE-Po75
Der Sommer mit der Kartoffelernte	Margarete Evers	Regie		Potsdam			1992	16mm		Adaption ; Bühneninszenierung ; Trailer		DE-Po75
Zweite Stimme im Chor		Regie		Potsdam			1991	16mm	90m	Dokumentarfilm	Wende ; Mauerfall ; Taube ; Potsdam	DE-Po75
Ein Lied im Flur	Amir Al-Farouq	Regie		Potsdam			1992	16mm		Bühneninszenierung	Geschichte . Stadtimpressionen . Landleben	DE-Po75
Mitten in der City – 1990 (Magdeburg)	Sabine Schubert	Kameraübung		Potsdam			1987	35mm		Kamera ; Arbeit ; Landbevölkerung		DE-Po75
Lichterkette	Katrin Karge			Potsdam		Kollektiv Bild und Ton Potsdam ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1985	16mm	960m	Werbefilm ; Porträtfilm	Filmschnitt	DE-Po75
<<Das>> Geheimnis der drei Kreise	Horst Koch	Regie	F1	Potsdam			1995	35mm	195m	Spielfilm ; Adaption		DE-Po75
<<Das>> Fenster zum Nirgendwo	Anastasia Belova	Kameraübung		Potsdam			1988	16mm	86m			DE-Po75
Licht in Halle 2 defekt	Nikolaus Fuhrmanns	Regie		Potsdam			1998	35mm	138m	Animationsfilm ; Komödie		DE-Po75
Die Anonymität der Großstadtwölfe	Olga Pohl	Regie		Potsdam			1997	16mm	148m	Animationsfilm		DE-Po75
Vor dem ersten Licht	Tariq Rashid			Potsdam			1992	16mm	470m	"Hochschule für Film und Fernsehen ""Konrad Wolf"""		DE-Po75
Die verlorene Zeit	Beate Ahlgrimm	Regie		Potsdam			1991/92	16mm	100m			DE-Po75
<<Die>> Stühle standen im falschen Verhältnis	Klaus Becker	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel ; Filmstudio Babelsberg Ost	1986	16mm	34m	Spielfilm	Jugendkriminalität . Freizeit DDR . Pferderennen . Bräuche	DE-Po75
<<Der>> Kristall der Zeit	Gerhild Junker	Kamera		Potsdam			1996/97	16mm	135m			DE-Po75
Und alles war wie immer	Olga-Brigitte Kühnel	Regie	Kameraübung	Potsdam			1989	VHS			DDR . Landschaft . Reichskristallnacht . Kultureinrichtungen . Bühnentechnik	DE-Po75
Träume aus Rauch	Birgit Schneider	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel	1996	16mm	21m	Spielfilm		DE-Po75
Mein Sessel war einst blau		Regie	Kameraübung	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1986	16mm				DE-Po75
Wenn der Tag in Erinnerungen schwingt	Patrizia Schrader	Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1998	Betacam SP			Billard ; ohne Worte ; ohne Sprache ; ohne Dialog ; no dialogue	DE-Po75
Der Spind stand offen		Regie	Diplomfilm	Potsdam		Kollektiv Bild und Ton Potsdam ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1999					DE-Po75
Kantine war geschlossen	Alfred Kettner		Filmübung				1995-97	Betacam		Kamera ; Satire ; Ehe ; Frauen		DE-Po75
Sturm der Gefühle	Arno Quandel	Regie		Hamburg		Produktionskollektiv Brandenburg/Havel	1993	S-VHS		Dokumentarfilm		DE-Po75
<<Ein>> Tanz mit dem Wind	Pham Van Tuan	Kamera		Potsdam			1991	16mm	90m	Dokumentarfilm ; Essayfilm		DE-Po75
Mein letzter Besuch in Schwedt	Tina Bongartz	Kamera	Abschlußfilm	Potsdam		Film gruppe Berlin-Mitte	1989	Video				DE-Po75
<<Ein>> Winter ohne Ende	Yvonne Nitschke	Kamera		Potsdam		Filmstudio Babelsberg Ost	ca. 1990			Dokumentarfilm		DE-Po75
<<Die>> Reise der leeren Flaschen	Anastasia Belova	Buch	Hauptprüfungsfilm	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1986	16mm	171m			DE-Po75
<<Das>> Flüstern der verwaisten Geigen	Olga-Brigitte Kühnel			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Produktionskollektiv Brandenburg/Havel	1990	16mm	44m	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Der Schatten kam zu früh	Hoang Minh Tuan	Kamera		Potsdam			ca. 1989	VHS		Adaption ; Talkshow ; Soziale Probleme	Reportage . Simbabwe . Wendezeit	DE-Po75
<<Der>> Flug der Drachen	Manuela Hofmann	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel	[1988]	16mm	180m			DE-Po75
Wo der Regen Geschichten malt	Olga Jürgens			Potsdam		Filmgruppe Berlin-Mitte	1989	VHS		Spielfilm ; Varieté ; Frauen		DE-Po75
Ein Schatten bleibt	Xenia Ihlenfeld	Regie		Potsdam			1999			Spielfilm		DE-Po75
Im Rauschen der ungesagten Worte	Brigitte Pohlmann	Regie		Potsdam			1997	16mm	162m	Dokumentarfilm ; Adaption		DE-Po75
<<Die>> Sprache des Feuers	Martin Herrmann	Regie	Lichtübung	Potsdam			1988	16mm	82m			DE-Po75
Und doch fand		Kamera		Potsdam		Atelier für Dokumentarfilm Babelsberg ; Audiovisuelle Werkstatt Frankfurt Oder	1988				Musikclip	DE-Po75
Zweiter Teller abgelehnt	Ludwig-Markus Neubauer			Potsdam			1986	16mm	786m			DE-Po75
Vor dem Verlassen	Bertram Cremer	Buch		Potsdam		Kollektiv Bild und Ton Potsdam	1992	S-VHS		Spielfilm ; Werbefilm		DE-Po75
Becher blieb zurück	Le Thi	Kamera		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1985	16mm	73m	Kamera		DE-Po75
<<Der>> Pfad der Erleuchtung	Cilli Finke	Regie	Diplomfilm	Potsdam			1999	Betacam SP			nonverbal ; ohne Worte ; Spot ; ohne Dialog ; soziale Armut ; ohne Sprache	DE-Po75
Es war alles vorbereitet, außer uns	Heidemarie Karge	Regie		Potsdam			1985	16mm	65m	Musikfilm		DE-Po75
<<Ein>> Winter in Schwarz		Regie	Lichtübung	Potsdam			1991	35mm	478m			DE-Po75
Die Seiten waren lose	Nadja-Elke Quandt	Regie	F1	Potsdam			1996	16mm	110m	Dokumentarfilm		DE-Po75
Aufnahme		Kamera		Potsdam			1988/89	16mm	115m	Videoclip		DE-Po75
Und ich meine Stimme hörte	Bernd-Christian Döring	Regie		Potsdam			1997	16mm	338m	Spielfilm		DE-Po75
Als die Grenze durchs Herz ging	Gisela-Elisabeth Clausnitzer	Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; Produktionskollektiv Brandenburg/Havel	1985	16mm	120m	Dokumentarfilm ; Antifaschismus		DE-Po75
Die Straße hieß einmal anders	Lothar Diederich	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1991	16mm	480m	Dokumentarfilm ; Satire		DE-Po75
Spur	Gerlind Licht	Regie	Lichtübung	Potsdam			1996	16mm	334m	Trailer		DE-Po75
Ich trug das Blechteil zur Rampe	Tariq Abbas	Regie		Potsdam			1998	35mm	191m			DE-Po75
<<Ein>> Winter voller Telefonkabel	Joachim Xylander	Animation	Kameraübung	Potsdam			1989	VHS		Spielfilm		DE-Po75
Ein Tag im Kreis				Potsdam		Film gruppe Berlin-Mitte ; Kollektiv Bild &Ton "Potsdam"	1990			Spielfilm ; Spielfilm		DE-Po75
