Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Unstimmigkeit festgestellt	Xenia Schade	Regie		Potsdam			1993		false	16mm	91m							Auswanderer	Szenenbildner									
Ich vergaß mein eigenes Gesicht	Gabi Schirmer	Buch	Lichtübung	Potsdam	Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1995		false	16mm		Animationsfilm																
Als wir wussten, was nicht gesagt wird	Traute Hoffmann	Regie		Potsdam			1999		false	35mm	312m																	
Wenn die Züge stehen blieben	Yasmin Pätzold	Regie		Potsdam			1996		false	Betacam SP		Dokumentarfilm																
Planungskonflikt		Regie		Potsdam			1998		false	16mm	90m																	
So still wie damals	Burkhard Ohlsen	Animation		London	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1985		false	16mm	40m							Musikclip										
Spalt	Wolfgang Ehrhardt	Kamera		Potsdam			1999		false																			
Ruf aus dem Lautsprecher, Der		Regie		Potsdam			1999		false	Digital Betacam																		
letzte Tag des Postboten, Der	Lars-Ulrich Berg	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1998		false	16mm	579m	Spielfilm																
Produktion lief im Standgas	Sabrina-Karola Schenke	Regie		Potsdam			1998	1999	false	16mm	17m	Spielfilm																
Milch war lauwarm, Die	Anastasia Belova	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1986		false	35mm	300m	Dokumentarfilm	Spielfilm															
Zwischen Zügen und Träumen – Cottbus	Gisela Bauer	Regie	Diplomfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg	Audiovisuelle Werkstatt Frankfurt/Oder	1986		false	16mm		Bühneninszenierung	Biografischer Film															
In den Schatten der Erinnerung – Berlin	Jörn-Karsten Lichtenberg	Kameraübung		Potsdam			1987		false	16mm																		
Liste war nur eine Kopie, Die	Yvonne Zink	Kamera		Potsdam			1989		false	16mm	120m																	
Flüstern im Heizungskeller	Renate Eichel			Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false	16mm	134m	Spielfilm	Porträtfilm															
Archiv ohne Ordnung	Olga Wagner	Regie		Potsdam			1998		false	Betacam SP		Spielfilm	Biografischer Film	Kriminalfilm														
Fahrradkörbe voller Sternenstaub	Anastasia Romanova	Kamera		Potsdam	Filmgruppe Berlin-Mitte	Filmstudio Babelsberg Ost	1989		false	S-VHS																		
Besen nicht benutzen	Justus Lüdke	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1994		false	16mm		Spielfilm	Großstadt															
Vom Hafen in die Zukunft – Rostock	Sigrid Czerny	Regie		Potsdam			1992	1993	false	35mm	132m	Spielfilm																
Farbe der Stille, Die	Kai Oehme		F1	Potsdam	Atelier für Dokumentarfilm Babelsberg		1993		false	Betacam SP		Dokumentarfilm	Faschismus	Kamera	Kulturpolitik	Adaption		Künstler										
Als der Winter kam	Lý Thị Mai			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1995		false	16mm								nonverbal	ohne Worte	Katholizismus								
Raumfuge	Otto-Reinhard Opitz		TV-Übung				1989		false	35mm		Dokumentarfilm																
Wo die Fahne plötzlich fehlte	Petra-Renate Rupprecht			Potsdam			1989		false	35mm	99m	Satire	Adaption	Arbeit														
Kuss aus Licht, Ein	Erika Quast	Regie	Lichtübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Filmstudio Babelsberg Ost	1991		false	16mm	32m							Jugendkriminalität	Mauer	ohne Sprache	Bahnhof	Berlin	München					
Metronome der verlorenen Sekunden, Die		Kamera	Kameraübung	Potsdam			1989		false	16mm	71m																	
Tag, an dem ich stehen blieb, Der	Kai Oehme	Regie	Diplomfilm	Potsdam			1997		false	Betacam SP		Spielfilm																
Rest von gestern, Der	Christian Eberspächer	Regie		Potsdam			1989		false	16mm	300m							Geschichte										
Wenn das Herz in Stille spricht	Arndt Bär	Regie	Diplomfilm	Potsdam			1997		false	16mm	114m	Frauen																
Poesie eines flüchtigen Augenblicks, Die	Olga Jürgens			Potsdam	Filmstudio Babelsberg Ost		1991		false	16mm	143m							Vortrag	Vorlesung	Bahnfahrt	ohne Dialog							
Uhr war stehengeblieben, Die	Layla Mansour			Potsdam			1995	1996	false	16mm	58m																	
Tag in Leipzig, Ein	Volker Uhl	Regie	Lichtübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1992		false	16mm		Spielfilm																
Druckertinte nicht vorhanden	Zoe Färber	Regie	Diplomfilm	Potsdam			1991		false	VHS																		
Zielmenge angepasst	Sven Nolting	Regie		Potsdam			1991		false																			
frühe Umkehr, Die	Jörn-Karsten Lichtenberg	Kamera	Hauptprüfungsfilm	Potsdam			1985		false	16mm	118m																	
Und die Werkzeuge fehlten wieder		Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg		1989		false	16mm	23m																	
Pfad der vergessenen Helden, Der	Jana Jürgens	Regie	Kameraübung	Potsdam	Produktionskollektiv Brandenburg/Havel	Atelier für Dokumentarfilm Babelsberg	1993		false	16mm	242m	Spielfilm	Wende															
Ich ging vor der Pause	Bernd-Christian Böttcher	Idee		Potsdam			1996		false	16mm	20m	Dokumentarfilm						Kolportage	Haustiere	Spot	nonverbal	ohne Dialog	no dialogue					
Material war falsch etikettiert	Yasmin Ziegler		Abschlußfilm				1989		false	16mm	60m	Dokumentarfilm																
Ort ohne Namen, Ein	Uschi Bongartz	Regie		Potsdam			1985		false	35mm	86m																	
Lächeln nach dem Streit, Das	Zdenko Opitz	Regie	Lichtübung	Potsdam			1999		false	35mm	179m	Dokumentarfilm																
Licht am Ende, Ein		Kamera		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1990		false									Reportage	Musikclip	Musikvideo								
...wo der Mond schweigt	Tran Van Khanh	Regie	F3	Potsdam			1996		false	35mm	110m	Spielfilm																
...im Herzen des Winters	Denise-Regina Steffen	Regie		Potsdam			1986		false	35mm	897m																	
Niemand antwortete auf Frage 3	Inge-Maria Jänicke	Kameraübung		Potsdam	Kollektiv Bild & Ton Potsdam		1988	1989	false	Digital Betacam																		
Teppich hatte keine Absicht, Der	Friedrich Risse	Regie	F1	Potsdam			1999		false	35mm	171m																	
Beweis	Pham Thi Mai	Regie	Diplomfilm	Potsdam			1995		false	16mm	15m																	
Tapete war frisch geklebt, Die				Potsdam			1988		false	16mm	1300m	Dokumentarfilm																
Tropfen mit Richtung	Lothar Kessel	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Kollektiv Bild & Ton Potsdam	1998		false	16mm	22m	Spielfilm						nonverbal	Bosnienkrieg	ohne Sprache	ohne Dialog	no dialogue						
Wenn die Grenze keine Linien kannte		Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1998		false	16mm	115m																	
Niemand trug mehr die blaue Bluse		Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1999	2007	false	16mm	427m	Spielfilm						nonverbal	ohne Worte	ohne Sprache	Kinospot	nonverbal						
Stunde in der Unterwelt – Potsdam, Eine	Tariq Mansour		Diplomfilm	Potsdam			1999		false	16mm	358m	Spielfilm						Fiction	Zukunft	ohne Sprache								
Wo der Klang der Seele erklingt	Ludwig-Martin Lübke	Regie		Potsdam			1999		false	35mm	124m																	
Tagebuch eines Trägers, Das				Potsdam	Filmgruppe Berlin-Mitte		1992		false	35mm	114m	Spielfilm																
Zwischen Himmel und Asphalt – Karl‑Marx‑Stadt	Tommy Bauer	Regie	Abschlußfilm	Potsdam			1987	1988	false	35mm	201m	Dokumentarfilm																
Mein Papier hatte ein Wasserzeichen	Sabrina-Karola Schenke	Regie		Potsdam			1997		false	35mm		Spielfilm	Behinderung															
Mathematik der Vögel, Die	Marika Oertel			Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1988		false	35mm	860m	Dokumentarfilm	Alter															
verlorene Stadt, Die		Design		Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1994		false	Betacam SP		Dokumentarfilm																
Im Lärm des Wartens	Falko-Jürgen Bärwald	Regie	TV-Übung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1993		false	S-VHS		Videoclip	Porträtfilm															
Gegenstand entnommen		Regie	TV-Übung	Potsdam			1989	1990	false	16mm		Dokumentarfilm	Krankheit															
Mein Lehrer sah mich nicht		Regie		Potsdam			1994		false	35mm	712m	Dokumentarfilm																
Ahnung einer Wahrheit, Die	Sven Nolting	Buch	Kameraübung	Potsdam			1990		false																			
Gespräch auf dem Hof, Das	Amir Karim	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1994		false	Betacam SP								Ägypten	schwarzer Humor									
Schatten des Windes, Der	Inge Hoffmann	Regie		Potsdam			1997		false	Betacam SP																		
Notausgang geöffnet – ohne Grund	Amir Karim	Regie		Potsdam			1995	1996	false	16mm	490m							Plätze	Christentum	ohne Sprache	ohne Dialog	no dialogue						
Vielleicht kein Zufall	Xenia Möller	Regie	Kameraübung	Potsdam			1985		false	16mm	100m	Dokumentarfilm																
Als alles zu früh war	Marika Oertel	Regie		Potsdam	Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1988		false	16mm	45m																	
offene Feld, Das	Anastasia Romanova			Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1989		false	VHS																		
Geruch von Rost und Rosen, Der	Gerhild Tietmeyer	Regie		Potsdam			1986		false	35mm	51m																	
...und der Wind flüstert	Ottmar Schade	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1988		false	Digital Betacam																		
Tag ging ohne Geräusch, Der	Oskar Rothe	Regie		Potsdam			1990		false	16mm	591m																	
leere Blatt, Das		Buch		Potsdam			1994		false	Betacam SP		Spielfilm																
Planabweichung akzeptiert	Lothar Mai	Buch	Hauptprüfungsfilm	Potsdam	Produktionskollektiv Brandenburg/Havel		1986		false	35mm	595m							DRA	Trapprennbahn	Kultur DDR								
Schweigen der Sterne, Das	Gudrun-Maria Karg			Potsdam			1990		false	VHS																		
Absender unleserlich	Pham Duc Thanh	Regie		Potsdam			1989		false	16mm	67m																	
Fenster waren geschlossen, Die		Kamera		Potsdam			1989		false	35mm	306m	Talkshow	Bühneninszenierung															
Frühling ohne Vögel, Ein	Ilka-Luise Mielke	Regie		Potsdam			1987		false	16mm		Dokumentarfilm																
Raumwechsel unbemerkt	Lothar Mai	Regie		Potsdam			1985		false	16mm	196m																	
Klassenfeier ohne Musik, Die	Yvonne-Zoe Weitz	Regie		Potsdam			1991	1992	false	35mm	60m																	
Kante statt Fläche	Uta Vollrath	Regie		Berlin	Audiovisuelle Werkstatt Frankfurt/Oder	Filmstudio Babelsberg Ost	1994		false	Digital Betacam																		
Als die Vögel nicht flogen	Yasmin Wolf	Regie	Lichtübung	Potsdam			1993		false	35mm	280m	Spielfilm																
Ohne Vorwarnung	Renate-Sigrid Rupp			Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1992		false	16mm	340m							Wendezeit	Bühnenstück	Social Spot								
Schatten der Mitternacht	Pham Duc Thanh	Regie		Potsdam			1994		false	Digital Betacam																		
letzte Blick in die Nacht – Dresden, Der	Istvan Horváth			Potsdam			1995		false	16mm	12m	Spielfilm																
Blumenvase entfernt	Wiltrud Fuhrmanns	Kameraübung		Potsdam			1988		false	U-matic																		
Unter dem blauen Himmel		Regie	F1	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1998		false	Betacam SP																		
Staub auf den Flügeln der Tauben	Walter Wagner		Hauptprüfungsfilm	Potsdam			1990		false	16mm	98m	Dokumentarfilm																
Abendrot, Dem	Olga Pohl	Animation		Potsdam			1995		false	16mm	10m	Spielfilm																
Niemand erinnerte sich korrekt	Liane Quast	Regie		Potsdam			1996	1997	false	16mm	24m	Animationsfilm	Porträtfilm					Werbespot	Spot	Kinospot	ohne Sprache	Social Spot	non dialogue					
Sturm der Erinnerung	Friederike Gohlke	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1997		false	16mm	306m	Animationsfilm	Satire	Behinderung														
Funkstörung, 13:42	Paul Finke	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel		1993		false	35mm	152m	Animationsfilm	Komödie															
Geflecht, Das	Xenia Möller	Regie					1989		false	16mm	94m	Animationsfilm																
Nachtrag gestrichen	Traute Eberspächer	Regie		Potsdam			1985		false	16mm	275m																	
Als hätten wir nichts versprochen	Zenta Abt		Hauptprüfungsfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false			Dokumentarfilm																
Mein Licht ging um 19:04 aus	Margot Händel	Regie	Lichtübung	Potsdam			1991		false	35mm	127m	Spielfilm																
Kein Bedarf – sagt der Zettel	Dagobert Quandt	Regie		Potsdam			1999		false	35mm	665m	Dokumentarfilm																
erste Tag im neuen Land, Der		Regie		Potsdam			1999		false	35mm	28m	Dokumentarfilm																
Erinnerungen an Bitterfeld		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1990		false																			
Verschwiegene Briefe	Xenia Möller	Kamera		Potsdam	Filmgruppe Berlin-Mitte		1986		false	35mm	120m	Spielfilm																
Sommer mit der Kartoffelernte, Der	Margarete Evers	Regie		Potsdam			1992		false	16mm		Adaption	Bühneninszenierung	Trailer														
Zweite Stimme im Chor		Regie		Potsdam			1991		false	16mm	90m	Dokumentarfilm						Wende	Mauerfall	Taube	Potsdam							
Lied im Flur, Ein	Amir Al-Farouq	Regie		Potsdam			1992		false	16mm		Bühneninszenierung						Geschichte	Stadtimpressionen	Landleben								
Mitten in der City – 1990 (Magdeburg)	Sabine Schubert	Kameraübung		Potsdam			1987		false	35mm		Kamera	Arbeit	Landbevölkerung														
Lichterkette	Katrin Karge			Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1985		false	16mm	960m	Werbefilm	Porträtfilm					Filmschnitt										
Geheimnis der drei Kreise, Das	Horst Koch	Regie	F1	Potsdam			1995		false	35mm	195m	Spielfilm	Adaption															
Fenster zum Nirgendwo, Das	Anastasia Belova	Kameraübung		Potsdam			1988		false	16mm	86m																	
Licht in Halle 2 defekt	Nikolaus Fuhrmanns	Regie		Potsdam			1998		false	35mm	138m	Animationsfilm	Komödie															
Anonymität der Großstadtwölfe, Die	Olga Pohl	Regie		Potsdam			1997		false	16mm	148m	Animationsfilm																
Vor dem ersten Licht	Tariq Rashid			Potsdam			1992		false	16mm	470m	Hochschule für Film und Fernsehen "Konrad Wolf"																
verlorene Zeit, Die	Beate Ahlgrimm	Regie		Potsdam			1991	1992	false	16mm	100m																	
Stühle standen im falschen Verhältnis, Die	Klaus Becker	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel	Filmstudio Babelsberg Ost	1986		false	16mm	34m	Spielfilm						Jugendkriminalität	Freizeit DDR	Pferderennen	Bräuche							
Kristall der Zeit, Der	Gerhild Junker	Kamera		Potsdam			1996	1997	false	16mm	135m																	
Und alles war wie immer	Olga-Brigitte Kühnel	Regie	Kameraübung	Potsdam			1989		false	VHS								DDR	Landschaft	Reichskristallnacht	Kultureinrichtungen	Bühnentechnik						
Träume aus Rauch	Birgit Schneider	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel		1996		false	16mm	21m	Spielfilm																
Mein Sessel war einst blau		Regie	Kameraübung	Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1986		false	16mm																		
Wenn der Tag in Erinnerungen schwingt	Patrizia Schrader	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1998		false	Betacam SP								Billard	ohne Worte	ohne Sprache	ohne Dialog	no dialogue						
Spind stand offen, Der		Regie	Diplomfilm	Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1999		false																			
Kantine war geschlossen	Alfred Kettner		Filmübung				1995	1997	false	Betacam		Kamera	Satire	Ehe	Frauen													
Sturm der Gefühle	Arno Quandel	Regie		Hamburg	Produktionskollektiv Brandenburg/Havel		1993		false	S-VHS		Dokumentarfilm																
Tanz mit dem Wind, Ein	Pham Van Tuan	Kamera		Potsdam			1991		false	16mm	90m	Dokumentarfilm	Essayfilm															
Mein letzter Besuch in Schwedt	Tina Bongartz	Kamera	Abschlußfilm	Potsdam	Filmgruppe Berlin-Mitte		1989		false	Video																		
Winter ohne Ende, Ein	Yvonne Nitschke	Kamera		Potsdam	Filmstudio Babelsberg Ost		1990		true			Dokumentarfilm																
Reise der leeren Flaschen, Die	Anastasia Belova	Buch	Hauptprüfungsfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1986		false	16mm	171m																	
Flüstern der verwaisten Geigen, Das	Olga-Brigitte Kühnel			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Produktionskollektiv Brandenburg/Havel	1990		false	16mm	44m	Hochschule für Film und Fernsehen der DDR "Konrad Wolf"																
Schatten kam zu früh, Der	Hoang Minh Tuan	Kamera		Potsdam			1989		true	VHS		Adaption	Talkshow	Soziale Probleme				Reportage	Simbabwe	Wendezeit								
Flug der Drachen, Der	Manuela Hofmann	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel		1988		false	16mm	180m																	
Wo der Regen Geschichten malt	Olga Jürgens			Potsdam	Filmgruppe Berlin-Mitte		1989		false	VHS		Spielfilm	Varieté	Frauen														
Schatten bleibt, Ein	Xenia Ihlenfeld	Regie		Potsdam			1999		false			Spielfilm																
Im Rauschen der ungesagten Worte	Brigitte Pohlmann	Regie		Potsdam			1997		false	16mm	162m	Dokumentarfilm	Adaption															
Sprache des Feuers, Die	Martin Herrmann	Regie	Lichtübung	Potsdam			1988		false	16mm	82m																	
Und doch fand		Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Audiovisuelle Werkstatt Frankfurt/Oder	1988		false									Musikclip										
Zweiter Teller abgelehnt	Ludwig-Markus Neubauer			Potsdam			1986		false	16mm	786m																	
Vor dem Verlassen	Bertram Cremer	Buch		Potsdam	Kollektiv Bild & Ton Potsdam		1992		false	S-VHS		Spielfilm	Werbefilm															
Becher blieb zurück	Le Thi	Kamera		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1985		false	16mm	73m	Kamera																
Pfad der Erleuchtung, Der	Cilli Finke	Regie	Diplomfilm	Potsdam			1999		false	Betacam SP								nonverbal	ohne Worte	Spot	ohne Dialog	soziale Armut	ohne Sprache					
Es war alles vorbereitet, außer uns	Heidemarie Karge	Regie		Potsdam			1985		false	16mm	65m	Musikfilm																
Winter in Schwarz, Ein		Regie	Lichtübung	Potsdam			1991		false	35mm	478m																	
Seiten waren lose, Die	Nadja-Elke Quandt	Regie	F1	Potsdam			1996		false	16mm	110m	Dokumentarfilm																
Aufnahme		Kamera		Potsdam			1988	1989	false	16mm	115m	Videoclip																
Und ich meine Stimme hörte	Bernd-Christian Döring	Regie		Potsdam			1997		false	16mm	338m	Spielfilm																
Als die Grenze durchs Herz ging	Gisela-Elisabeth Clausnitzer	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Produktionskollektiv Brandenburg/Havel	1985		false	16mm	120m	Dokumentarfilm	Antifaschismus															
Straße hieß einmal anders, Die	Lothar Diederich	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1991		false	16mm	480m	Dokumentarfilm	Satire															
Spur	Gerlind Licht	Regie	Lichtübung	Potsdam			1996		false	16mm	334m	Trailer																
Ich trug das Blechteil zur Rampe	Tariq Abbas	Regie		Potsdam			1998		false	35mm	191m																	
Winter voller Telefonkabel, Ein	Joachim Xylander	Animation	Kameraübung	Potsdam			1989		false	VHS		Spielfilm																
Tag im Kreis, Ein				Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1990		false			Spielfilm	Spielfilm															
Montag 17:10 – vor dem Rathaus	Elfi Oberst	Regie	Übung	Potsdam			1993		false	16mm	95m	Spielfilm																
Topographie der ungesagten Worte, Die	Erhard Moser	Regie	F1	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1995		false	16mm	17m	Dokumentarfilm																
Dorf, das vergessen wurde, Das	Danny Weber	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1988		false	U-matic								Parklandschaft										
Mein Mantel war zu warm	Ludwig-Martin Lübke	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1999		false	35mm	424m	Dokumentarfilm	Interviewfilm															
letzte Schnee, Der	Ottmar Schade			Potsdam			1989		false	VHS																		
Sonderschicht erforderlich	Inge-Maria Jänicke			Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	16mm	400m																	
Zwischen Feldweg und Fahrplan	Hannah Mayer	Regie		Potsdam			1988		false	16mm	38m	Dokumentarfilm	Fahrzeug															
Wenn alles zu viel ist	Margot Händel	Regie	Lichtübung	Potsdam	Filmgruppe Berlin-Mitte		1988	1989	false	16mm	52m	Dokumentarfilm																
Wind durch die Felder, Der		Regie	Filmübung	Potsdam			1995		false	16mm	177m																	
Archiv nur mit Genehmigung	Stefan Tietjen	Regie		Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1997		false	Betacam SP																		
Ausschuss dokumentieren	Sven Nolting			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1988		false	16mm	532m																	
